date,amount,money,open,max,min,close,delta,deal
0113/09/02,"7,413,924","2,930,876,894",405,405,392,394.5,-5,"6,906"
0113/09/03,"6,066,872","2,390,909,808",394.5,397,392,392.5,-2,"5,660"
0113/09/04,"13,226,059","4,932,389,359",372.5,379,364,372,-20.5,"19,108"
0113/09/05,"8,221,395","3,079,740,903",375,381,368.5,369,-3,"9,490"
0113/09/06,"7,832,985","2,930,851,663",370.5,377,369,375.5,6.5,"6,058"
0113/09/09,"9,876,385","3,578,522,122",359,366,358.5,362.5,-13,"13,221"
0113/09/10,"7,432,986","2,740,976,967",366.5,371.5,365.5,369,6.5,"6,731"
0113/09/11,"8,514,514","3,099,968,272",365,369,360.5,364.5,-4.5,"7,909"
0113/09/12,"9,317,959","3,586,272,820",377,389.5,376,389,24.5,"10,463"
0113/09/13,"4,880,751","1,883,460,583",392.5,392.5,382,385,-4,"5,738"
0113/09/16,"4,104,019","1,577,292,676",385,389,381,385.5,0.5,"3,968"
0113/09/18,"9,165,277","3,489,755,635",381,385,376.5,380,-5.5,"7,338"
0113/09/19,"7,321,703","2,841,151,137",382.5,391.5,382.5,391.5,11.5,"7,012"
0113/09/20,"9,377,882","3,656,363,310",395,397.5,387,387,-4.5,"7,437"
0113/09/23,"5,102,479","1,997,787,898",392.5,393.5,389,390.5,3.5,"4,436"
0113/09/24,"3,933,449","1,546,680,723",390.5,397,387,397,6.5,"4,926"
0113/09/25,"8,739,750","3,482,627,343",395,401.5,395,398,1,"9,129"
0113/09/26,"7,688,086","3,052,648,330",394,399,394,396,-2,"7,114"
0113/09/27,"10,223,004","4,098,055,175",398,404,397.5,400,4,"8,959"
0113/09/30,"8,858,681","3,422,312,606",389.5,395,380.5,380.5,-19.5,"11,650"
0113/10/01,"5,988,958","2,295,918,032",379.5,388,379.5,384.5,4,"5,757"
0113/10/04,"19,998,727","7,389,963,712",372,376.5,366,366,-18.5,"26,214"
0113/10/07,"16,223,402","5,987,231,615",371.5,377.5,363.5,372.5,6.5,"15,544"
0113/10/08,"10,805,050","4,068,450,479",371,382,370,382,9.5,"8,893"
0113/10/09,"9,432,998","3,610,184,958",387,387.5,379,381.5,-0.5,"8,296"
0113/10/11,"5,922,762","2,263,075,134",381,386.5,378.5,380,-1.5,"6,434"
0113/10/14,"6,674,065","2,570,270,159",376.5,389,376.5,387.5,7.5,"6,964"
0113/10/15,"12,290,154","4,870,930,660",388,400.5,387.5,398.5,11,"13,202"
0113/10/16,"9,668,211","3,772,628,219",393,396,387,389,-9.5,"11,932"
0113/10/17,"7,042,283","2,745,195,850",394.5,394.5,385.5,392,3,"5,626"
0113/10/18,"13,313,219","5,337,898,325",397,405,395,402,10,"13,790"
0113/10/21,"5,461,118","2,187,650,911",403,404,397.5,400,-2,"6,040"
