date,amount,money,open,max,min,close,delta,deal
0113/10/22,"6,391,484","2,564,878,639",400,404.5,396,404.5,4.5,"5,897"
0113/10/23,"3,546,282","1,415,767,296",400,401.5,397,398.5,-6,"4,321"
0113/10/24,"5,462,187","2,160,291,526",395,398.5,393.5,393.5,-5,"5,199"
0113/10/25,"6,412,000","2,557,396,000",393,402,393,402,8.5,"4,242"
0113/10/28,"8,839,968","3,588,029,105",404,413,401.5,405,3,"9,567"
0113/10/29,"8,861,027","3,555,610,604",401.5,406,396.5,406,1,"6,962"
0113/10/30,"15,484,584","6,245,035,719",407,407.5,399,404,-2,"9,059"
0113/11/01,"13,462,516","5,247,859,078",381,396,381,390.5,-13.5,16388
0113/11/04,"8,853,431","3,464,532,422",388,395,388,395,4.5,7077
0113/11/05,"5,889,730","2,343,125,507",392,403,391,398.5,3.5,5516
0113/11/06,"7,390,256","2,961,383,296",396,403,395,403,4.5,6973
0113/11/07,"6,476,590","2,591,209,094",403,403,397,399,-4,5779
0113/11/08,"7,875,153","3,151,999,912",400,403,398,400,1,4851
0113/11/11,"8,120,403","3,245,287,791",400,402,396.5,401,1,4386
0113/11/12,"12,787,890","5,123,408,461",400,409,395.5,397,-4,12924
0113/11/13,"6,338,390","2,494,169,393",392,397,391.5,393.5,-3.5,8216
0113/11/14,"7,491,836","2,917,167,487",395,395.5,386,389,-4.5,9970
0113/11/15,"5,194,661","2,015,305,461",392,393.5,386,386,-3,6524
0113/11/18,"4,289,267","1,654,431,864",386.5,389,383.5,386.5,0.5,5069
0113/11/19,"5,237,868","2,019,108,188",385,388,382,388,1.5,5732
0113/11/20,"6,252,197","2,421,444,680",389,391.5,384.5,386.5,-1.5,6010
0113/11/21,"10,390,549","3,938,760,085",380,382.5,376,381,-5.5,14760
0113/11/22,"9,438,777","3,684,205,843",386,394,386,394,13,7075
0113/11/25,"11,345,997","4,476,233,938",397,400,393.5,393.5,-0.5,4760
0113/11/26,"3,585,059","1,396,279,607",391,393,387.5,387.5,-6,3757
0113/11/27,"2,766,208","1,074,813,405",386,393,386,386,-1.5,3850
0113/11/28,"5,118,220","1,958,405,488",386,388,378.5,384,-2,6830
0113/11/29,"6,491,721","2,473,781,448",376.5,386,374.5,381,-3,5864
0113/12/02,"2,892,538","1,124,997,841",386,391,386,388.5,7.5,3339
0113/12/03,"4,861,327","1,903,704,230",391,394,390,391,2.5,4449
0113/12/04,"3,429,329","1,347,946,871",393,395,390,395,4,3548
0113/12/05,"5,217,635","2,056,008,740",396.5,398.5,391.5,391.5,-3.5,4905
0113/12/06,"6,599,150","2,621,296,975",389,399.5,389,399,7.5,8291
0113/12/09,"8,009,179","3,232,009,877",399,406.5,398,405,6,10807
0113/12/10,"8,313,893","3,340,067,043",404.5,404.5,398.5,403,-2,5992
0113/12/11,"13,688,502","5,645,019,449",403,418,401.5,414.5,11.5,17864
0113/12/12,"9,736,640","4,057,730,260",412,421,412,417,2.5,9857
0113/12/13,"15,401,042","6,555,694,512",421.5,432.5,418.5,423,6,15309
0113/12/16,"9,332,521","3,973,127,336",426,429.5,421.5,426,3,10234
0113/12/17,"8,484,705","3,556,600,559",418.5,425,416,419.5,-6.5,9737
0113/12/18,"6,394,787","2,687,901,067",414.5,425.5,414.5,425.5,6,6632
0113/12/19,"7,102,887","2,956,407,237",415,419.5,413,416.5,-9,8202
0113/12/20,"9,115,312","3,759,068,868",408,417.5,407,412,-4.5,11780
0113/12/23,"5,535,592","2,323,019,972",420,425,417,420,8,5648
0113/12/24,"5,638,467","2,394,709,434",421,427.5,420,425.5,5.5,6577
0113/12/25,"2,048,258","865,339,485",425,427,419.5,422.5,-3,3613
0113/12/26,"2,595,616","1,107,099,106",423,428,422.5,428,5.5,4470
0113/12/27,"3,192,074","1,373,729,434",426,433,425.5,431.5,3.5,5143
0113/12/30,"5,097,682","2,214,365,929",431,438,429.5,434.5,3,6751
0113/12/31,"3,753,593","1,615,014,992",430,433.5,428,430.5,-4,4521
0114/01/02,"11,380,681","4,783,630,401",430.5,436.5,412.5,417,-13.5,26479
0114/01/03,"9,851,603","4,096,589,825",419.5,422,412.5,414,-3,7975
0114/01/06,"7,109,722","2,961,882,393",422,422,415,418.5,4.5,6043
0114/01/07,"7,751,389","3,332,968,536",425,434,423.5,432,13.5,8716
0114/01/08,"12,300,630","5,330,039,702",440.5,446,425.5,428,-4,10523
0114/01/09,"5,235,447","2,201,723,648",428,430,417,417.5,-10.5,7041
0114/01/10,"4,405,382","1,843,054,259",420,420.5,416,420,2.5,3927
0114/01/13,"9,734,037","3,938,130,763",413.5,415.5,400,400,-20,12148
0114/01/14,"10,194,540","4,162,323,274",410,412.5,403,410,10,7554
0114/01/15,"9,458,307","3,794,806,928",404.5,406.5,398.5,400.5,-9.5,9176
0114/01/16,"9,885,870","4,120,907,506",408.5,424.5,405.5,418.5,18,9049
0114/01/17,"6,581,399","2,771,287,018",421,426,414.5,422,3.5,6551
0114/01/20,"4,795,905","2,051,535,027",425,431.5,425,427,5,5398
0114/01/21,"6,714,879","2,837,203,178",425,428.5,418.5,421.5,-5.5,6717
0114/01/22,"10,034,866","4,349,995,402",424,438,424,437.5,16,12433
0114/02/03,"21,442,807","8,562,086,482",400,407,394.5,399,-38.5,32993
0114/02/04,"9,832,298","3,943,454,067",401.5,408,396.5,397,-2,12646
0114/02/05,"6,794,679","2,761,080,871",403,410,403,405.5,8.5,6617
0114/02/06,"8,942,631","3,710,017,537",413.5,417.5,411.5,417,11.5,7907
0114/02/07,"4,903,016","2,022,822,124",418,418.5,409,415,-2,6878
0114/02/10,"5,455,004","2,214,491,910",405,409.5,404,404.5,-10.5,8402
0114/02/11,"6,933,390","2,800,840,141",405,408,402,402,-2.5,6673
0114/02/12,"3,998,133","1,610,368,483",403,406.5,401,401,-1,5091
0114/02/13,"6,701,476","2,708,460,961",401,406,400.5,405,4,5092
0114/02/14,"5,005,852","2,011,567,147",402,406,400,401,-4,7661
0114/02/17,"4,598,247","1,866,406,474",400,408.5,400,406,5,5362
0114/02/18,"21,321,011","8,392,544,011",402,403.5,390.5,391,-15,37838
0114/02/19,"8,248,001","3,229,349,641",386,394,386,392,1,11227
0114/02/20,"10,129,322","3,966,771,228",392.5,394.5,390,390,-2,12173
0114/02/21,"9,099,579","3,568,880,519",386.5,396,386.5,396,6,9707
0114/02/24,"7,070,816","2,784,138,643",391.5,396,389.5,395.5,-0.5,7260
0114/02/25,"7,091,000","2,793,404,500",389.5,397,389.5,393,-2.5,3837
0114/02/26,"8,893,842","3,521,833,478",392,399,391,399,6,7558
0114/02/27,"19,569,000","7,872,982,500",394,407,394,402,3,9782
0114/03/03,"12,654,968","4,986,004,404",397,400,390,390,-12,15072
0114/03/04,"20,515,117","7,760,387,194",385,387,373,377.5,-12.5,33768
0114/03/05,"10,339,351","3,926,054,590",379,383,377.5,378.5,1,11269
0114/03/06,"8,387,739","3,225,572,577",381.5,387.5,380.5,383.5,5,8421
0114/03/07,"9,283,003","3,503,241,250",381.5,381.5,375,375,-8.5,14564
0114/3/10,"6,133,006","2,314,909,172",375,381,375,375.5,0.5,"6323"
0114/3/11,"9,688,806","3,589,597,429",372,373.5,365.5,370.5,-5,"12665"
0114/3/12,"13,265,884","5,101,361,636",371.5,389.5,371.5,387.5,17,"13873"
0114/3/13,"11,347,000","4,468,028,000",392.5,398,388,388.5,-4,"11374"
0114/3/14,"9,100,000","3,459,094,500",385,386,366,378.5,-10,"5252"
0114/3/17,"11,898,000","4,672,946,000",385,396,383,394,15.5,"8175"
