date,amount,money,open,max,min,close,delta,deal
0113/9/2,"9,909,856","219,832,492",22.35,22.4,22.1,22.1,-0.15,"5,169"
0113/9/3,"20,871,291","458,219,395",22.15,22.15,21.9,21.9,-0.2,"10,465"
0113/9/4,"44,537,477","942,679,107",21.4,21.5,21,21.2,-0.7,"24,644"
0113/9/5,"20,325,105","429,026,734",21.2,21.25,21.05,21.1,-0.1,"10,871"
0113/9/6,"21,362,435","447,225,197",21.1,21.1,20.75,21.05,-0.05,"11,071"
0113/9/9,"26,175,690","537,154,932",20.6,20.7,20.35,20.55,-0.5,"13,939"
0113/9/10,"18,130,439","370,496,559",20.55,20.6,20.4,20.4,-0.15,"10,873"
0113/9/11,"26,944,252","544,108,428",20.4,20.4,20.1,20.2,-0.2,"14,556"
0113/9/12,"20,209,879","414,419,714",20.3,20.7,20.25,20.65,0.45,"8,518"
0113/9/13,"17,074,125","357,845,717",20.65,21.1,20.6,21.05,0.4,"7,424"
0113/9/16,"20,619,298","441,626,175",21.1,21.6,21,21.4,0.35,"9,113"
0113/9/18,"20,055,667","432,064,040",21.4,21.65,21.35,21.6,0.2,"10,464"
0113/9/19,"20,558,079","437,281,194",21.3,21.4,21.1,21.3,-0.3,"8,884"
0113/9/20,"75,849,274","1,609,257,657",21.3,21.55,21.15,21.15,-0.15,"8,945"
0113/9/23,"18,223,237","387,050,598",21.2,21.35,21.1,21.25,0.1,"5,917"
0113/9/24,"19,416,238","410,998,549",21.15,21.35,21,21.3,0.05,"8,131"
0113/9/25,"39,871,895","867,574,430",21.5,21.9,21.5,21.85,0.55,"12,317"
0113/9/26,"19,141,563","417,539,677",21.95,21.95,21.7,21.75,-0.1,"7,087"
0113/9/27,"99,589,936","2,268,759,515",21.95,23.45,21.85,23.1,1.35,"33,409"
0113/9/30,"82,827,032","1,934,465,067",23.45,23.8,23.05,23.15,0.05,"26,459"
0113/10/1,"28,730,641","668,025,978",23.5,23.5,23.05,23.35,0.2,"10,538"
0113/10/4,"75,454,876","1,789,905,624",23.8,23.9,23.6,23.7,0.35,"18,295"
0113/10/7,"44,770,424","1,062,547,115",23.7,23.8,23.6,23.8,0.1,"12,277"
0113/10/8,"49,913,591","1,183,860,139",23.7,23.95,23.6,23.7,-0.1,"10,755"
0113/10/9,"42,777,033","986,293,652",23.7,23.8,22.7,22.7,-1,"23,190"
0113/10/11,"11,193,045","255,398,178",22.85,23,22.7,22.7,0,"5,484"
0113/10/14,"17,254,368","387,025,176",22.8,22.8,22.25,22.35,-0.35,"9,124"
0113/10/15,"21,237,543","473,685,300",22.4,22.45,22.1,22.35,0,"7,664"
0113/10/16,"26,134,516","584,227,643",22.4,22.65,22.15,22.15,-0.2,"9,046"
0113/10/17,"18,814,308","423,062,008",22.2,22.65,22.2,22.45,0.3,"5,471"
0113/10/18,"25,826,375","589,781,851",22.6,23,22.45,22.95,0.5,"8,888"
0113/10/21,"19,725,939","448,301,144",23.2,23.2,22.6,22.6,-0.35,"8,689"
0113/10/22,"16,531,563","369,962,354",22.6,22.6,22.3,22.4,-0.2,"8,419"
0113/10/23,"9,272,000","207,301,100",22.4,22.55,22.3,22.3,-0.1,"3,610"
0113/10/24,"9,199,797","204,723,884",22.25,22.4,22.1,22.25,-0.05,"4,267"
0113/10/25,"9,425,000","211,800,500",22.3,22.55,22.3,22.55,0.3,"3,297"
0113/10/28,"12,101,634","273,950,552",22.55,22.8,22.4,22.75,0.2,"5,298"
0113/10/29,"15,248,709","342,948,992",22.7,22.7,22.35,22.6,-0.15,"6,765"
0113/10/30,"13,078,091","293,888,032",22.6,22.65,22.35,22.5,-0.1,"3,915"
0113/11/1,"30,942,614","696,655,804",22.3,22.85,22.15,22.7,0.2,"8,874"
0113/11/4,"12,056,591","273,605,314",22.55,22.8,22.5,22.7,0,"4,791"
0113/11/5,"15,873,228","362,115,144",22.7,22.9,22.7,22.9,0.2,"5,601"
0113/11/6,"19,935,841","457,645,360",22.85,23.1,22.65,23.1,0.2,"6,648"
0113/11/7,"27,953,534","651,458,321",23.15,23.6,23.1,23.15,0.05,"10,127"
0113/11/8,"20,734,627","482,953,972",23.25,23.4,23.1,23.25,0.1,"9,510"
0113/11/11,"17,238,881","397,115,388",23.2,23.2,22.8,23.2,-0.05,"9,196"
0113/11/12,"33,845,413","758,426,878",22.75,22.8,22.3,22.3,-0.9,"15,328"
0113/11/13,"16,208,845","362,301,334",22.2,22.5,22.15,22.45,0.15,"5,493"
0113/11/14,"14,872,731","330,334,099",22.35,22.4,22.1,22.25,-0.2,"6,239"
0113/11/15,"20,638,791","457,975,832",22.2,22.45,22.05,22.05,-0.2,"7,737"
0113/11/18,"17,878,955","400,042,340",22.15,22.55,22.05,22.45,0.4,"6,321"
0113/11/19,"13,724,422","306,535,099",22.35,22.5,22.25,22.35,-0.1,"5,897"
0113/11/20,"13,951,434","310,824,624",22.3,22.4,22.1,22.3,-0.05,"5,577"
0113/11/21,"11,631,195","257,115,666",22.15,22.2,22.05,22.05,-0.25,"5,652"
0113/11/22,"7,605,004","168,612,164",22.2,22.3,22.1,22.1,0.05,"3,606"
0113/11/25,"31,054,212","692,292,096",22.4,22.55,22.15,22.3,0.2,"5,781"
0113/11/26,"8,425,476","186,800,617",22.2,22.35,22.1,22.1,-0.2,"4,070"
0113/11/27,"20,080,959","440,274,138",22.1,22.15,21.75,21.75,-0.35,"11,147"
0113/11/28,"12,948,299","280,481,402",21.85,21.9,21.5,21.75,0,"6,308"
0113/11/29,"24,531,691","522,809,244",21.55,21.55,21.2,21.2,-0.55,"11,377"
0113/12/2,"15,083,506","320,293,877",21.2,21.45,21.2,21.2,0,"7,473"
0113/12/3,"15,310,646","327,904,666",21.3,21.55,21.25,21.55,0.35,"6,389"
0113/12/4,"13,579,616","292,378,716",21.55,21.65,21.4,21.65,0.1,"5,694"
0113/12/5,"13,081,564","278,886,331",21.65,21.65,21.2,21.2,-0.45,"7,283"
0113/12/6,"11,785,394","249,973,638",21.35,21.35,21.1,21.15,-0.05,"5,922"
0113/12/9,"16,212,465","341,470,212",21.1,21.2,21,21,-0.15,"7,584"
0113/12/10,"14,652,047","308,715,969",21.05,21.3,21,21,0,"5,827"
0113/12/11,"20,768,554","432,029,960",21,21,20.65,20.8,-0.2,"10,672"
0113/12/12,"23,334,577","481,484,333",20.8,20.85,20.5,20.5,-0.3,"11,878"
