date,amount,money,open,max,min,close,delta,deal
0113/12/13,"23,998,590","486,333,556",20.5,20.5,20.2,20.25,-0.25,"11,075"
0113/12/16,"32,950,030","661,796,068",20.25,20.3,20,20.25,0,"14,761"
0113/12/17,"22,916,601","459,301,965",20.15,20.15,20,20,-0.25,"9,436"
0113/12/18,"19,955,986","400,215,292",20,20.15,20,20.05,0.05,"8,337"
0113/12/19,"20,484,664","408,638,652",20,20.05,19.8,19.95,-0.1,"12,029"
0113/12/20,"29,604,279","588,676,841",19.9,19.95,19.8,19.9,-0.05,"12,005"
0113/12/23,"18,208,344","363,712,179",19.95,20.1,19.9,20,0.1,"8,262"
0113/12/24,"14,439,950","288,924,096",20.05,20.15,19.95,19.95,-0.05,"7,224"
0113/12/25,"12,916,610","257,887,826",20,20.05,19.9,19.95,0,"6,580"
0113/12/26,"11,002,444","220,311,664",20,20.1,19.95,20,0.05,"4,733"
0113/12/27,"12,481,252","249,050,945",20,20,19.9,20,0,"5,567"
0113/12/30,"14,977,560","298,119,792",20,20,19.85,19.85,-0.15,"7,916"
0113/12/31,"20,805,980","408,638,120",19.8,19.85,19.55,19.65,-0.2,"12,000"
0114/1/2,"30,378,568","585,075,449",19.6,19.6,19.15,19.25,-0.4,"17,090"
0114/1/3,"27,101,517","517,072,941",19.25,19.25,19,19,-0.25,"15,599"
0114/1/6,"29,238,621","560,804,735",19,19.45,18.9,19.3,0.3,"12,756"
0114/1/7,"32,352,817","615,401,234",19.25,19.25,18.95,18.95,-0.35,"17,540"
0114/1/8,"28,241,881","530,869,388",18.95,19,18.7,18.9,-0.05,"15,676"
0114/1/9,"27,003,676","504,212,689",18.85,18.85,18.6,18.6,-0.3,"15,920"
0114/1/10,"33,520,579","615,765,042",18.55,18.6,18.25,18.3,-0.3,"15,755"
0114/1/13,"48,332,042","870,962,615",18.25,18.25,17.85,18.1,-0.2,"19,430"
0114/1/14,"28,218,194","517,592,614",18.1,18.5,18.1,18.35,0.25,"10,606"
0114/1/15,"37,068,360","697,213,679",18.35,19.05,18.35,18.7,0.35,"14,013"
0114/1/16,"24,876,285","470,868,545",19,19.05,18.8,18.9,0.2,"8,366"
0114/1/17,"53,776,928","1,045,825,855",19.1,19.75,19.05,19.55,0.65,"19,878"
0114/1/20,"27,232,505","530,415,508",19.6,19.65,19.3,19.55,0,"9,597"
0114/1/21,"44,996,448","903,260,384",19.7,20.3,19.6,20.1,0.55,"16,463"
0114/1/22,"26,750,653","538,422,467",20.3,20.35,20,20.15,0.05,"11,806"
0114/2/3,"31,118,855","622,726,790",19.95,20.25,19.8,20,-0.15,"12,552"
0114/2/4,"22,961,907","453,497,742",20.15,20.15,19.6,19.6,-0.4,"10,694"
0114/2/5,"18,616,294","368,240,574",19.8,20,19.6,19.6,0,"7,515"
0114/2/6,"12,828,932","255,328,124",19.9,20,19.7,19.9,0.3,"5,080"
0114/2/7,"13,310,340","261,841,623",19.9,19.9,19.55,19.65,-0.25,"7,187"
0114/2/10,"36,254,580","727,786,493",19.65,20.3,19.65,20.05,0.4,"14,573"
0114/2/11,"23,497,814","469,460,001",20.15,20.2,19.8,19.9,-0.15,"8,894"
0114/2/12,"18,589,980","373,355,347",20,20.2,19.9,20.1,0.2,"6,724"
0114/2/13,"120,177,322","2,568,400,954",20.2,22.1,20.1,21.9,1.8,"44,973"
0114/2/14,"253,873,876","5,791,576,949",22,23.5,21.7,23.25,1.35,"79,438"
0114/2/17,"92,131,837","2,117,507,737",23.4,23.45,22.6,22.85,-0.4,"33,765"
0114/2/18,"54,862,821","1,230,548,472",22.65,22.75,22.2,22.4,-0.45,"27,837"
0114/2/19,"36,727,240","825,490,406",22.45,22.8,22.35,22.35,-0.05,"13,247"
0114/2/20,"38,165,462","868,648,801",22.6,23.1,22.55,22.65,0.3,"13,421"
0114/2/21,"41,318,713","944,938,316",22.8,23.1,22.65,23,0.35,"14,403"
0114/2/24,"50,197,231","1,159,290,166",22.95,23.4,22.75,23.2,0.2,"16,056"
0114/2/25,"106,677,000","2,515,797,650",23.1,23.9,23,23.9,0.7,"26,903"
0114/2/26,"60,977,700","1,448,522,972",23.95,24,23.6,23.8,-0.1,"19,680"
0114/2/27,"119,578,000","2,891,111,550",23.9,24.35,23.8,24.35,0.55,"29,689"
0114/3/3,"77,384,598","1,842,489,852",23.6,24.1,23.35,24,-0.35,"27,866"
0114/3/4,"52,785,000","1,242,024,250",23.75,23.8,23.3,23.6,-0.4,"15,108"
0114/3/5,"59,777,275","1,432,007,376",23.6,24.2,23.45,24.1,0.5,"21,156"
0114/3/6,"74,807,763","1,816,768,274",24.2,24.6,24,24.25,0.15,"25,046"
0114/3/7,"35,985,075","872,584,323",24.15,24.5,24,24.25,0.1,"12,916"
0114/3/10,"91,963,434","872,584,323",24.35,24.9,24.2,24.7,0.35,"31,274"
0114/3/11,"54,626,000","1,320,044,750",24.45,24.55,23.85,24.3,-0.15,"22,017"
0114/3/12,"38,821,000","934,074,750",24.4,24.6,23.85,24.15,-0.25,"15,287"
0114/3/13,"35,731,000","848,884,050",24.1,24.4,23.55,23.7,-0.4,"35,731"
0114/3/14,"43,546,000","1,053,570,750",23.8,24.3,23.75,24.3,0.6,"12,912"
0114/3/17,"25,150,000","605,108,550",24.2,24.25,23.9,24.1,-0.2,"7,422"
0114/3/18,"23,642,000","570,701,300",24.15,24.25,24,24.15,0.05,"5834"
0114/3/19,"25,432,000","611,763,450",24,24.2,23.9,24.1,-0.05,"7414"
0114/3/20,"40,324,000","978,179,550",24.3,24.35,24.05,24.35,0.25,"8399"
0114/3/21,"66,994,196","1,598,829,767",24.35,24.35,23.6,23.8,-0.55,"13879"
0114/3/24,"24,470,845","581,656,369",23.8,23.95,23.6,23.7,-0.1,"7502"
0114/3/25,"38,119,227","887,459,964",23.9,23.95,23.05,23.1,-0.6,"14696"
0114/3/26,"28,093,000","648,163,800",23.1,23.35,22.85,23.2,0.1,"9628"
0114/3/27,"18,943,000","441,300,850",23.1,23.45,23,23.45,0.25,"5591"
0114/3/28,"29608047","682285854",23.55,23.55,22.8,23,-0.45,"11475"
0114/3/31,"34307000","774175100",22.65,22.95,22.4,22.4,-0.6,"9605"
0114/4/01,"21335000","488142400",22.5,23.1,22.5,22.95,0.55,"6454"
